contributionYear,donorId,fundId,paidAmount,pledgedAmount
2018,162,105,10118651,0
2018,162,108,3945993,0
2018,163,1,1119930,0
2018,163,18,1511182,0
2018,163,36,1511597,0
2018,163,55,501504,0
2018,163,67,202020,0
2018,163,72,1518218,0
2018,163,73,3014111,0
2018,163,80,994332,0
2018,163,87,1529472,0
2018,163,88,1810735,0
2018,163,91,1015228,0
2018,163,105,3544189,0
2018,163,108,2526858,0
2018,181,105,25000000,0
2018,183,1,24011950,0
2018,183,18,8354890,0
2018,183,27,36518818,0
2018,183,36,25512638,0
2018,183,49,17170378,0
2018,183,67,3342245,0
2018,183,74,4078167,0
2018,183,80,23319400,0
2018,183,87,6441980,0
2018,183,88,16846050,0
2018,183,91,1278772,0
2018,183,105,39186128,0
2018,183,108,44771663,0
2018,184,36,14750000,0
2018,184,49,10000000,0
2018,184,67,4250000,0
2018,184,105,5000000,0
2018,200,1,2339,0
2018,200,18,10823,0
2018,200,27,887,0
2018,200,80,3491,0
2018,200,87,100158,0
2018,200,88,142709,0
2019,13,1,3593985,0
2019,13,67,3538018,0
2019,13,87,5289228,0
2019,13,88,2839592,0
2019,15,105,20000,0
2019,22,18,2251000,0
2019,22,27,6168071,0
2019,22,49,4545454,0
2019,22,51,1136363,0
2019,22,55,1704545,0
2019,22,72,3409090,0
2019,22,73,3977272,0
2019,22,88,3376500,0
2019,22,91,7954545,0
2019,22,105,5681818,0
2019,22,108,7954545,0
2019,35,1,381133,0
2019,35,18,762266,0
2019,35,27,2850712,0
2019,35,36,745291,0
2019,35,49,377210,0
2019,35,67,743658,0
2019,35,74,453733,0
2019,35,87,1442460,0
2019,35,88,764906,0
2019,35,91,3752924,0
2019,35,105,5250119,0
2019,35,108,1879910,0
2019,49,105,56818,0
2019,50,36,430607,0
2019,52,1,5224094,0
2019,52,18,3043167,0
2019,52,36,4143635,0
2019,52,55,1517344,0
2019,52,73,2204320,0
2019,52,87,7191743,0
2019,52,88,3815570,0
2019,52,91,5310669,0
2019,52,105,9746209,0
2019,52,108,3744245,0
2019,61,98,56882,0
2019,64,108,11479397,0
2019,67,1,3222746,0
2019,67,18,5599500,0
2019,67,27,11217000,0
2019,67,36,11273957,0
2019,67,49,1137656,0
2019,67,51,2200220,0
2019,67,55,2750275,0
2019,67,67,1668524,0
2019,67,72,6825938,0
2019,67,73,12471409,0
2019,67,80,3337905,0
2019,67,87,13460552,0
2019,67,88,14618350,0
2019,67,91,2229654,0
2019,67,98,2779709,0
